ID,Total VAP,Party,Partisan Lean
1,584095,Dem,0.524
2,562838,Dem,0.7016
3,623362,Dem,0.9129999999999999
4,593119,Dem,0.6153
5,569946,Dem,0.6513
6,578637,Dem,0.5695
7,590711,Dem,0.5181
8,573748,Dem,0.4729
9,565752,Dem,0.3408
10,596651,Dem,0.4781
11,578830,Dem,0.3834
12,550909,Dem,0.3123
13,555212,Dem,0.2723
14,560234,Dem,0.3572
15,548080,Dem,0.2753
16,548756,Dem,0.4002
17,591870,Dem,0.5073
18,580798,Dem,0.6451
1,584095,Rep,0.4655
2,562838,Rep,0.29100000000000004
3,623362,Rep,0.0809
4,593119,Rep,0.3743
5,569946,Rep,0.3402
6,578637,Rep,0.4185
7,590711,Rep,0.47
8,573748,Rep,0.5171
9,565752,Rep,0.6453
10,596651,Rep,0.5073
11,578830,Rep,0.6016
12,550909,Rep,0.6732
13,555212,Rep,0.7158
14,560234,Rep,0.6321
15,548080,Rep,0.7119
16,548756,Rep,0.5868
17,591870,Rep,0.4802
18,580798,Rep,0.3439
1,584095,Oth,0.0105
2,562838,Oth,0.0074
3,623362,Oth,0.0061
4,593119,Oth,0.0104
5,569946,Oth,0.0084
6,578637,Oth,0.012
7,590711,Oth,0.0118
8,573748,Oth,0.0101
9,565752,Oth,0.0139
10,596651,Oth,0.0146
11,578830,Oth,0.015
12,550909,Oth,0.0145
13,555212,Oth,0.0119
14,560234,Oth,0.0106
15,548080,Oth,0.0129
16,548756,Oth,0.013000000000000001
17,591870,Oth,0.0125
18,580798,Oth,0.011000000000000001
